#{"t_start": 1744852308.4564278, "env_id": "None"}
r,l,t
-20.5,383,2669.428982
-22.5,404,2671.408079
-21.0,387,2673.397716
-23.0,399,2676.241671
-20.5,401,2690.406107
-20.5,394,2692.101815
-22.0,398,2693.970018
-21.5,387,2695.69413
-22.0,399,2712.398832
-20.5,382,2713.93957
-21.0,380,2715.596341
-20.5,396,2717.706949
-21.0,388,2733.327463
-21.5,392,2735.354356
-22.0,404,2736.797837
-21.0,400,2739.705436
-22.5,379,2753.31319
-21.0,398,2756.566656
-21.5,400,2758.299065
-21.0,395,2761.870398
-21.0,389,2775.61156
-21.5,391,2778.855767
-22.0,411,2780.692219
-21.0,388,2784.0371
-21.5,395,2796.015109
-22.0,400,2798.634847
-48.0,407,2800.993197
-21.0,394,2804.214924
-21.0,393,2816.486867
-21.5,414,2820.398821
-21.0,383,2822.082842
-21.5,398,2824.423831
-20.5,386,2835.9307
-20.5,390,2839.220905
-22.5,408,2841.133552
-21.5,398,2843.262651
-22.0,406,2854.774754
-21.0,397,2857.968031
-20.5,399,2861.37426
-22.0,396,2864.872175
-22.0,400,2876.455532
-22.0,414,2880.30226
-22.0,408,2882.830422
-22.0,411,2884.466196
-21.0,401,2895.42657
-21.0,404,2898.910209
-21.5,399,2900.770189
-22.5,405,2902.509006
-22.5,406,2916.104768
-22.0,400,2920.270409
-22.0,400,2922.446541
-21.0,398,2926.554293
-21.5,415,2939.383963
-21.5,407,2942.937464
-23.0,406,2944.915514
-21.5,408,2948.398073
-22.0,416,2961.060346
-22.0,400,2962.744988
-21.5,414,2966.200189
-21.5,411,2969.530841
-21.5,412,2980.727259
-22.5,413,2983.283816
-22.0,409,2985.527901
-20.5,405,2987.733854
-22.0,419,3001.380953
-21.5,416,3003.219163
-21.0,405,3005.259434
-21.5,402,3006.978734
-47.5,411,3024.81197
-22.5,412,3026.507262
-22.5,406,3028.378385
-21.0,408,3030.011758
-21.0,413,3047.162844
-22.5,415,3049.17178
-22.0,407,3051.009903
-47.0,406,3052.903669
-21.5,412,3068.959206
-48.0,406,3070.655239
-21.5,404,3073.850333
-48.0,417,3075.681639
-20.0,405,3091.667917
-22.0,414,3093.806397
-20.5,413,3096.192578
-22.0,407,3098.341852
-47.0,410,3114.624821
-22.0,415,3116.580489
-22.5,411,3118.540648
-22.5,422,3120.696703
-22.5,416,3137.719594
-20.5,406,3139.627651
-22.0,406,3141.551417
-20.0,399,3143.757533
-47.5,407,3161.540336
-23.0,427,3163.985142
-21.0,407,3164.474741
-22.0,405,3166.483463
-22.0,411,3184.845773
-20.5,411,3188.305285
-22.0,418,3190.102345
-20.5,392,3191.762405
-21.0,401,3208.581599
-21.5,405,3210.855379
-20.0,404,3212.0488
-48.0,405,3213.608369
-20.5,410,3227.939505
-21.5,405,3230.273403
-22.0,398,3230.582236
-22.5,402,3232.180156
-22.0,415,3247.795332
-20.5,404,3249.910074
-21.5,404,3250.269404
-22.0,415,3252.551831
-21.0,406,3267.605099
-21.5,404,3269.653224
-21.0,410,3270.777625
-21.0,401,3272.819585
-21.0,404,3289.012653
-21.0,395,3291.143221
-20.0,408,3291.833005
-23.0,412,3295.144254
-20.5,408,3310.551721
-22.0,400,3312.608021
-20.5,406,3314.125579
-20.0,414,3316.335769
-21.0,402,3333.077611
-21.0,401,3335.093047
-22.0,402,3336.852973
-22.0,404,3338.946856
-48.0,389,3356.995829
-22.0,404,3359.142418
-22.0,403,3360.762346
-22.0,396,3363.521055
-23.0,353,3375.651633
-22.5,365,3378.427018
-22.5,383,3379.486438
-22.0,369,3382.050797
-20.5,374,3395.360276
-19.5,368,3398.049255
-22.0,363,3398.501391
-21.5,360,3400.903729
-21.0,354,3414.983737
-21.5,379,3417.100203
-22.0,387,3418.950256
-21.5,365,3419.852315
-21.0,372,3431.339071
-21.0,344,3433.558066
-22.0,380,3436.584265
-20.5,382,3438.410386
-22.5,369,3450.273012
-21.0,347,3453.871731
-22.5,382,3458.943219
