time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/loss,train/learning_rate,train/entropy_loss,train/value_loss,train/n_updates,train/clip_range,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/clip_fraction
5976,116,172.37,475136,79,48.80863952636719,0.313968688249588,5e-05,-0.2186493620586892,0.8008640499164661,1725,0.2,0.9932919144630432,0.0057953484,-0.00047090638933392864,0.04073893229166667
6052,117,169.81,479232,79,48.811187744140625,0.3040141761302948,5e-05,-0.21962042103211085,0.7255503946294387,1740,0.2,0.9942052364349365,0.0058074496,-0.0017011082088477754,0.037613932291666666
6122,118,166.44,483328,78,49.834556579589844,0.2912085950374603,5e-05,-0.18778513859336574,0.6488648153841495,1755,0.2,0.9945574402809143,0.007605861,-0.001593017827932878,0.042561848958333336
6197,119,166.79,487424,78,49.83420944213867,0.3469723165035248,5e-05,-0.14968984633063276,0.8300333724667629,1770,0.2,0.9923253655433655,0.006081893,-0.0014039495688242217,0.040869140625
6270,120,165.54,491520,78,49.83546447753906,0.5458324551582336,5e-05,-0.14647318464703857,0.9316282562911511,1785,0.2,0.9912555813789368,0.0025312018,-0.00018272959471990664,0.026936848958333332
6344,121,163.27,495616,78,49.837730407714844,0.25942787528038025,5e-05,-0.12647391410234074,0.7871556288252274,1800,0.2,0.9936891198158264,0.0026346105,-0.0017474597353915064,0.038736979166666664
6426,122,163.54,499712,77,48.81745529174805,0.23495398461818695,5e-05,-0.129664658755064,0.6991659761716922,1815,0.2,0.9949043393135071,0.0010658167,1.1056287136549752e-05,0.0224609375
6509,123,162.74,503808,77,48.81825637817383,1.8204028606414795,5e-05,-0.14132577727238338,5.854671410471201,1830,0.2,0.8895312547683716,0.0026051158,-0.0006903520164390405,0.019905598958333333
6595,124,163.53,507904,77,48.81747055053711,0.48929092288017273,5e-05,-0.1411661302515616,0.8458132658774654,1845,0.2,0.9903566837310791,0.0024388744,-0.001032097399487005,0.02421875
6681,125,164.64,512000,76,48.81635665893555,0.2755248546600342,5e-05,-0.13008485006478926,0.7000224719444911,1860,0.2,0.9938687682151794,0.001465234,-8.228012350931143e-05,0.0177734375
6761,126,164.68,516096,76,49.83632278442383,0.22643059492111206,5e-05,-0.1289700019483765,0.7121066440517704,1875,0.2,0.9927850961685181,0.001738129,0.00032064791642672695,0.029117838541666666
6848,127,164.7,520192,75,49.8362922668457,0.2655225992202759,5e-05,-0.1262184931586186,0.8269029418006539,1890,0.2,0.9933369755744934,0.020305324,0.003681490372643263,0.039811197916666666
6934,128,164.26,524288,75,49.83673858642578,0.35399526357650757,5e-05,-0.12108107822326322,0.9116822645068169,1905,0.2,0.9923945665359497,0.003450756,-0.0014474766576313414,0.0240234375
7018,129,163.35,528384,75,49.837650299072266,0.22479194402694702,5e-05,-0.1198834659686933,0.7203961917509635,1920,0.2,0.9938892722129822,0.0011757201,-0.00036645804963579093,0.015608723958333333
7098,130,162.89,532480,75,49.838111877441406,0.4735569953918457,5e-05,-0.11214434734235207,0.6423443322380383,1935,0.2,0.9940575361251831,0.004370975,0.002519096595157559,0.018961588541666668
7181,131,160.96,536576,74,49.84004211425781,0.2517693042755127,5e-05,-0.1050497019973894,0.5920070723320047,1950,0.2,0.9940699338912964,0.0070363106,-0.003035100968554616,0.0322265625
7262,132,160.66,540672,74,49.84034729003906,0.3826388418674469,5e-05,-0.10451527907668302,0.7934723537415266,1965,0.2,0.9946050047874451,0.0014875301,0.004558941366849467,0.025846354166666665
7339,133,159.45,544768,74,49.841548919677734,0.2680734395980835,5e-05,-0.10589122699263195,0.6166527926300963,1980,0.2,0.9951273202896118,0.0015739147,0.004366240957945896,0.033707682291666666
7431,134,159.76,548864,73,49.84123992919922,0.2687405049800873,5e-05,-0.0971512995970746,0.627844320423901,1995,0.2,0.9950447082519531,0.0028675196,-0.0017517213927931152,0.019856770833333332
7523,135,159.95,552960,73,49.8410530090332,0.26635023951530457,5e-05,-0.10198215129009137,0.6881026179219286,2010,0.2,0.9935751557350159,0.0027707894,0.00045343831977030883,0.02333984375
7611,136,159.66,557056,73,49.841346740722656,0.33809971809387207,5e-05,-0.09443344757892191,0.6912490634247661,2025,0.2,0.9933670163154602,0.0032557794,0.00039300527084075535,0.016536458333333334
7690,137,159.95,561152,72,49.8410530090332,0.25842180848121643,5e-05,-0.08261015220390013,0.5297920847622056,2040,0.2,0.9949373602867126,0.0016499434,-0.0007567759341327474,0.02265625
7776,138,159.11,565248,72,49.841896057128906,0.21703004837036133,5e-05,-0.08027371612067023,0.6609174844498436,2055,0.2,0.9943756461143494,0.00084861973,0.0004170850254013203,0.018668619791666667
7868,139,158.3,569344,72,49.84269714355469,0.3206707537174225,5e-05,-0.07731909061161181,0.6163148510580262,2070,0.2,0.9945414662361145,0.0014013432,0.0007205295010256425,0.014388020833333333
7961,140,159.55,573440,72,49.84144973754883,0.2462296336889267,5e-05,-0.0751014800897489,0.6791196377327045,2085,0.2,0.9938544034957886,0.0033678652,0.0012678348551465508,0.026383463541666666
