#{"t_start": 1744830877.801953, "env_id": "None"}
r,l,t
49.746998,254,1592.881601
49.691,310,1597.632519
47.707,294,1598.329779
-23.789,290,1599.930077
-23.271,272,1604.936124
47.732,269,1608.104401
-23.273,274,1610.198092
-52.285,286,1613.019671
-48.269,270,1617.96701
-23.767,268,1620.764554
-23.265,266,1623.507271
-23.779,280,1627.000002
-48.774,275,1629.717321
-48.277,278,1632.784072
49.749,252,1634.3915
49.755,246,1634.659787
-48.254,255,1638.993034
49.781,220,1641.680155
51.735,266,1643.763538
-52.258,259,1645.29987
49.743,258,1650.445315
49.74,261,1655.949671
-23.282999,284,1656.325908
49.77,231,1656.556278
49.77,231,1662.89493
49.757,244,1668.106904
-56.268,269,1669.313415
-23.761,262,1670.606431
49.753998,247,1674.244774
49.758,243,1680.133752
-23.282999,284,1681.518344
49.761,240,1681.675917
49.773,228,1684.174939
49.751,250,1690.219077
49.738,263,1690.434382
47.719,282,1691.712614
-48.802,303,1695.888879
49.775,226,1701.326367
-48.765,266,1702.463104
49.763,238,1702.683435
-23.769001,270,1709.232871
49.741,260,1713.122076
-48.767,268,1714.266762
49.76,241,1714.428649
49.789,212,1717.986714
43.774,227,1722.47333
49.765,236,1722.684256
-54.248,249,1722.856588
49.761,240,1726.688267
-52.239,240,1731.120058
49.768,233,1731.306506
53.728,273,1732.791923
-48.271,272,1735.877442
-48.247,248,1740.308303
-52.26,261,1741.115919
49.757,244,1741.339469
-48.247,248,1747.619688
-48.234,235,1750.95773
47.775,226,1753.241082
49.766,235,1753.488018
47.732,269,1759.14946
49.773,228,1761.410923
49.787,214,1761.589372
49.785,216,1763.784601
49.756,245,1770.945844
49.778,223,1771.145075
-52.241,242,1771.441752
-48.218,219,1772.639467
49.768,233,1780.786983
49.781,220,1780.966455
-48.238,239,1783.147482
-48.774,275,1783.557916
49.776,225,1791.6488
-44.235,236,1792.591424
-56.226,227,1794.209775
-52.262,263,1795.089383
-56.24,241,1801.582325
-52.267,268,1803.8825
49.765,236,1804.572052
55.743,258,1806.015181
-48.261,262,1812.982762
49.765,236,1813.243309
-23.774,275,1815.236931
-52.287,288,1819.702434
49.758,243,1822.771764
53.764,237,1823.998621
49.776,225,1824.17153
47.763,238,1828.521045
49.767,234,1831.787275
49.796,205,1832.800037
49.765,236,1834.574344
-52.251,252,1839.182049
49.764,237,1842.74933
-48.257,258,1844.715746
49.752,249,1844.919511
-52.221,222,1848.844985
49.8,201,1850.711594
51.767,234,1854.42484
49.766,235,1855.7958
49.749,252,1860.78009
49.77,231,1860.990413
47.753,248,1866.030311
-52.248,249,1866.256203
49.75,251,1870.586758
49.755,246,1870.794269
49.786,215,1873.443133
49.757,244,1875.837725
49.769,232,1881.547073
-54.266,267,1883.558485
49.75,251,1886.487795
49.759,242,1887.568329
-52.237,238,1892.727237
49.783,218,1894.698631
49.752,249,1898.657529
49.752,249,1900.312908
-48.246002,247,1904.353306
49.79,211,1904.527934
49.746,255,1909.812587
49.766,235,1910.071856
49.803,198,1913.344004
47.731,270,1914.676772
51.765,236,1919.147986
-56.234,235,1922.442602
49.779,222,1922.779718
47.74,261,1929.161946
-48.229,230,1932.113531
49.753,248,1934.998724
49.753,248,1936.490738
55.792,209,1938.723519
49.758,243,1941.497864
-58.247,248,1944.239889
-52.23,231,1944.456028
49.78,221,1948.466775
